name,ra,dec,Clumpiness_from_paper,Clumpiness_using_Statmorph
NGC2541,123.66821,49.06167,0.23,0
NGC2683,133.17367,33.41956,0.43,0
NGC3079,150.49387,55.68058,0.86,0.06
NGC3166,153.44025,3.42456,0.16,0
NGC3319,159.78962,41.68667,0,0
NGC3379,161.95729,12.58183,0.01,0
NGC3486,165.10042,28.97544,0.25,-0.9
NGC3556,167.88037,55.67528,0.51,0
NGC3596,168.77621,14.78669,0.21,-0.99
NGC3623,169.73242,13.09231,0.22,0
NGC3675,171.53346,43.58789,0.07,0
NGC3726,173.33833,47.02889,0.22,-0.01
NGC3810,175.24533,11.47147,0.32,-0.5
NGC3877,176.53254,47.49469,0.47,0
NGC3938,178.20604,44.12028,0.33,0
NGC3953,178.4545,52.32681,0.21,-0.23
NGC4013,179.63083,43.9475,0.59,0
NGC4030,180.09812,-1.09981,0.18,-0.01
NGC4088,181.3905,50.53964,0.64,0
NGC4123,182.04742,2.87772,0.22,-1.24
NGC4125,182.02621,65.17417,-0.02,0.04
NGC4136,182.32383,29.92758,0.25,-0.9
NGC4157,182.76737,50.48314,0.21,0
NGC4189,183.44742,13.42458,0.37,0
NGC4216,183.97646,13.15008,0.38,0.01
NGC4258,184.73975,47.30397,0.19,-0.12
NGC4340,185.89729,16.72194,-0.02,0.02
NGC4394,186.48225,18.21381,0,0
NGC4429,186.86083,11.10756,0.08,0
NGC4442,187.01587,9.80356,0.03,0
NGC4450,187.1235,17.08467,-0.04,0
NGC4472,187.44483,7.99997,0.01,0
NGC4477,187.50925,13.63647,-0.01,-0.62
NGC4526,188.51317,7.69936,0.02,-0.01
NGC4527,188.53658,2.65294,0.32,0
NGC4535,188.58496,8.19758,0.4,-0.66
NGC4564,189.11254,11.43856,-0.02,0.1
NGC4571,189.2355,14.21711,0.07,-0.61
NGC4579,189.43117,11.81789,0.06,0.03
NGC4651,190.92792,16.39317,0.16,0.04
NGC4654,190.986,13.12639,0.17,0
NGC4689,191.94046,13.76269,0.08,0
NGC4754,193.07325,11.31397,-0.03,0
NGC4861,194.75146,34.84522,0.07,0
NGC4866,194.86267,14.17067,0.24,0.04
NGC5033,198.36496,36.59358,0.24,0
NGC5204,202.40221,58.42033,0.26,0
NGC5248,204.384,8.88497,0.26,0
NGC5322,207.31362,60.19053,-0.01,0
NGC5334,208.227,-1.1145,0.14,0
NGC5364,209.05025,5.01467,0.27,-0.42
NGC5377,209.07012,47.23522,0,-0.89
NGC5585,214.95133,56.72919,0.24,0
NGC5669,218.1825,9.89111,0.31,0
NGC5701,219.79646,5.36319,0.06,-0.9
NGC5746,221.23292,1.95528,0.57,0
NGC5792,224.59487,-1.09119,0.29,-0.99
NGC5813,225.29717,1.70178,-0.01,0.09
NGC5850,226.78233,1.54403,0.02,-1.07
NGC5985,234.90321,59.33106,0.2,0
NGC6118,245.4525,-2.28411,0.24,0
NGC6384,263.10175,7.06022,0.24,0.13
